protocol_id,nccp_code,title,field,original_label,display_label,component,protocol_path,basis
nccp-00738-v3,00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,neuropathy_grade,Neuropathy grade,Neuropathy grade (Paclitaxel),Paclitaxel,protocols/breast/00738-bevacizumab-paclitaxel.json,encoded rule action component
nccp-00738-v3,00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,other_nonhaem_toxicity_grade,Other non-haematological toxicity grade,Other non-haematological toxicity grade (Paclitaxel),Paclitaxel,protocols/breast/00738-bevacizumab-paclitaxel.json,encoded rule action component
nccp-00738-v3,00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,grade4_fistula,Tracheoesophageal or grade 4 fistula,Tracheoesophageal or grade 4 fistula (Bevacizumab),Bevacizumab,protocols/breast/00738-bevacizumab-paclitaxel.json,encoded rule action component
nccp-00738-v3,00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,grade4_thromboembolism,Grade 4 thromboembolic event,Grade 4 thromboembolic event (Bevacizumab),Bevacizumab,protocols/breast/00738-bevacizumab-paclitaxel.json,encoded rule action component
nccp-00738-v3,00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,haemorrhage_grade,Haemorrhage grade,Haemorrhage grade (Bevacizumab),Bevacizumab,protocols/breast/00738-bevacizumab-paclitaxel.json,encoded rule action component
nccp-00776-v3b,00776,Trastuzumab Deruxtecan 5.4 mg/kg (Enhertu) Therapy,hypersensitivity,Hypersensitivity to trastuzumab deruxtecan/excipients,Hypersensitivity to trastuzumab deruxtecan/excipients,Trastuzumab Deruxtecan,protocols/breast/00776-trastuzumab-deruxtecan.json,encoded rule action component
nccp-00776-v3b,00776,Trastuzumab Deruxtecan 5.4 mg/kg (Enhertu) Therapy,history_ild_pneumonitis,History of ILD or pneumonitis,History of ILD or pneumonitis (Trastuzumab Deruxtecan),Trastuzumab Deruxtecan,protocols/breast/00776-trastuzumab-deruxtecan.json,encoded rule action component
nccp-00776-v3b,00776,Trastuzumab Deruxtecan 5.4 mg/kg (Enhertu) Therapy,ild_pneumonitis_grade,Current ILD/pneumonitis grade,Current ILD/pneumonitis grade (Trastuzumab Deruxtecan),Trastuzumab Deruxtecan,protocols/breast/00776-trastuzumab-deruxtecan.json,encoded rule action component
nccp-00776-v3b,00776,Trastuzumab Deruxtecan 5.4 mg/kg (Enhertu) Therapy,severe_infusion_reaction,Severe infusion-related reaction,Severe infusion-related reaction (Trastuzumab Deruxtecan),Trastuzumab Deruxtecan,protocols/breast/00776-trastuzumab-deruxtecan.json,encoded rule action component
nccp-00794-vcurrent,00794,Sacituzumab Govitecan Therapy,hypersensitivity,Hypersensitivity to sacituzumab govitecan/excipients,Hypersensitivity to sacituzumab govitecan/excipients,Sacituzumab Govitecan,protocols/breast/00794-sacituzumab-govitecan.json,encoded rule action component
nccp-00794-vcurrent,00794,Sacituzumab Govitecan Therapy,life_threatening_infusion_reaction,Life-threatening infusion-related reaction,Life-threatening infusion-related reaction (Sacituzumab Govitecan),Sacituzumab Govitecan,protocols/breast/00794-sacituzumab-govitecan.json,encoded rule action component
nccp-00794-vcurrent,00794,Sacituzumab Govitecan Therapy,neutropenia_delay_weeks,Dose delay from grade 3–4 neutropenia (weeks),Dose delay from grade 3–4 neutropenia (weeks) (Sacituzumab Govitecan),Sacituzumab Govitecan,protocols/breast/00794-sacituzumab-govitecan.json,encoded rule action component
nccp-00794-vcurrent,00794,Sacituzumab Govitecan Therapy,non_neutropenic_severe_occurrence,Severe non-neutropenic toxicity occurrence,Severe non-neutropenic toxicity occurrence (Sacituzumab Govitecan),Sacituzumab Govitecan,protocols/breast/00794-sacituzumab-govitecan.json,encoded rule action component
nccp-00794-vcurrent,00794,Sacituzumab Govitecan Therapy,uncontrolled_nvd,"Severe nausea, vomiting or diarrhoea despite optimal treatment","Severe nausea, vomiting or diarrhoea despite optimal treatment (Sacituzumab Govitecan)",Sacituzumab Govitecan,protocols/breast/00794-sacituzumab-govitecan.json,encoded rule action component
