"code","protocol_id","path","title","in_scope","encoding_maturity","resolution","source_url","organ_inputs","organ_rules","issues"
"00381","nccp-00381-v6","protocols/breast/00381-cmf-iv-21-day.json","Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 21 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6346/381_v6_CMF_IV_21_Day.pdf","","",""
"00382","nccp-00382-v3","protocols/gastrointestinal/00382-trifluridine-tipiracil.json","Trifluridine and Tipiracil (Lonsurf®) Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6348/382_v3_trifluridine_and_tipiracil_Lonsurf_therapy.pdf","breastfeeding|dialysis|crcl_ml_min|bilirubin_ratio_uln|hepatic_impairment","PREG_LACT|RENAL_15_29|RENAL_LT15|HEPATIC_MOD_SEV|PROCEED",""
"00383","nccp-00383-v8","protocols/gastrointestinal/00383-gemcitabine-1000-mg-m2-and-cisplatin-25-mg-m2-21-day.json","Gemcitabine 1000 mg/m² and Cisplatin 25 mg/m² – 21 day","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6339/383_v8_GemCis25.pdf","breastfeeding|cisplatin_crcl_band|gemcitabine_renal_band|gemcitabine_bilirubin_band","PREGNANCY_OR_BREASTFEEDING|CISPLATIN_CRCL_45_59|CISPLATIN_CRCL_LT45|CISPLATIN_DIALYSIS|OF590_00383_GEM_RENAL_LT30|OF590_00383_GEM_BILI_GE27|OF590_00383_CIS_45_59|OF590_00383_CIS_LT45|OF590_00383_CIS_DIALYSIS",""
"00384","nccp-00384-v7","protocols/gastrointestinal/00384-gemcitabine-1000-mg-m2-and-capecitabine-650-mg-m2-21-day.json","Gemcitabine 1000 mg/m² and Capecitabine 650 mg/m² – 21 day","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6340/384_v7_Gemcitabine_1000_capecitabine_650_-21day_therapy.pdf","breastfeeding|gemcitabine_renal_band|gemcitabine_bilirubin_band|capecitabine_renal_band|capecitabine_bilirubin_uln|capecitabine_alt_ast_uln","PREGNANCY_OR_BREASTFEEDING|OF590_00384_GEM_RENAL_LT30|OF590_00384_GEM_BILI_GE27|OF590_00384_CAPE_RENAL_30_50|OF590_00384_CAPE_RENAL_LT30|OF590_00384_CAPE_HEPATIC_HOLD",""
"00385","nccp-00385-v5","protocols/gynaecology/00385-cisplatin-40-mg-m-weekly-with-radiotherapy.json","Cisplatin 40 mg/m² Weekly with Radiotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6341/385_V5_CISplatin_40mgm2_weekly_with_RT.pdf","alt_ast_uln_multiple|bilirubin_uln_multiple|cisplatin_renal_band","CIS_50_59|CIS_40_49|CIS_LT40",""
"00386","nccp-00386-v4","protocols/gastrointestinal/00386-doxorubicin-60-mg-m2-therapy.json","Doxorubicin 60 mg/m² Therapy","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6342/386_v4_DOXO_60mgm2.pdf","breastfeeding|doxorubicin_renal_band|doxorubicin_bilirubin_band","PREGNANCY_OR_BREASTFEEDING|OF590_00386_DOX_DIALYSIS|OF590_00386_DOX_BILI_20_50|OF590_00386_DOX_BILI_51_86|OF590_00386_DOX_BILI_GT86",""
"00387","nccp-00387-v5","protocols/head-neck/00387-cisplatin-100-mg-m-with-radiotherapy.json","Cisplatin 100 mg/m² with Radiotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6912/387_V5_CISplatin_100mgm2_with_RT.pdf","alt_ast_uln_multiple|bilirubin_uln_multiple|breastfeeding|cisplatin_crcl_band","CIS_RENAL_50_59|CIS_RENAL_40_49|CIS_RENAL_LOW",""
"00388","nccp-00388-v3","protocols/lung/00388-oral-etoposide-therapy.json","Oral Etoposide Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6911/388_V3_Oral_Etoposide.pdf","breastfeeding|etoposide_renal_band|bilirubin_uln_multiple","PREGNANCY_BREASTFEEDING|ETOP_RENAL_15_49|ETOP_RENAL_LT15|ETOP_DIALYSIS|ETOP_BILI_HIGH",""
"00391","nccp-00391-v5","protocols/sarcoma/00391-doxorubicin-60-mg-m2-and-ifosfamide-therapy.json","Doxorubicin 60 mg/m² and Ifosfamide Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6730/391_DOXOrubicin_60_and_Ifosfamide.pdf","breastfeeding|bilirubin_uln_multiple|ifosfamide_renal_band","PREGNANCY_BREASTFEEDING|DOX_BILI_GT4_3|DOX_BILI_GT2_5|DOX_BILI_GT1|IFO_RENAL_LT50|IFO_DIALYSIS",""
"00392","nccp-00392-v5","protocols/sarcoma/00392-doxorubicin-75-mg-m2-and-ifosfamide-therapy.json","Doxorubicin 75 mg/m² and Ifosfamide Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6731/392_DOXOrubicin_75_and_ifosfamide.pdf","breastfeeding|bilirubin_uln_multiple|ifosfamide_renal_band","PREGNANCY_BREASTFEEDING|DOX_BILI_GT4_3|DOX_BILI_GT2_5|DOX_BILI_GT1|IFO_RENAL_LT50|IFO_DIALYSIS",""
