path,protocol_id,title,counts,renal,hepatic,endocrine,context,toxicity,candidate_fields
"protocols/head-neck/00323-docetaxel-75-cisplatin-100-and-5-fluorouracil-1000-tcf-chemoradiation.json","nccp-00323-v7b","Docetaxel 75, Cisplatin 100 and 5-Fluorouracil 1000 (TCF) Chemoradiation",5,2,4,0,1,4,16
"protocols/head-neck/00324-docetaxel-75-cisplatin-75-5-fluorouracil-750-tcf-and-radiotherapy.json","nccp-00324-v6b","Docetaxel 75, Cisplatin 75, 5-Fluorouracil 750 (TCF) and Radiotherapy",5,1,4,0,1,4,15
"protocols/head-neck/00332-carboplatin-auc-1-5-chemoradiation-7-day.json","nccp-00332-v4","Carboplatin AUC 1.5 Chemoradiation – 7 day",5,1,2,0,1,1,10
"protocols/head-neck/00387-cisplatin-100-mg-m-with-radiotherapy.json","nccp-00387-v5","Cisplatin 100 mg/m² with Radiotherapy",5,1,2,0,1,2,11
"protocols/head-neck/00417-cetuximab-cisplatin-100-mg-m-and-5-fluorouracil-21-day.json","nccp-00417-v7","Cetuximab, Cisplatin 100 mg/m² and 5-Fluorouracil – 21 day",5,1,4,0,1,5,16
"protocols/head-neck/00418-cetuximab-carboplatin-auc-5-and-5-fluorouracil-21-day.json","nccp-00418-v7","Cetuximab, Carboplatin AUC 5 and 5-Fluorouracil – 21 day",5,1,4,0,1,4,15
"protocols/head-neck/00514-gemcitabine-1250-mg-m-monotherapy-21-day.json","nccp-00514-v3","Gemcitabine 1250 mg/m² Monotherapy – 21 day",5,1,2,0,1,2,11
"protocols/head-neck/00517-gemcitabine-1250-mg-m-and-cisplatin-80-mg-m-21-day.json","nccp-00517-v2","Gemcitabine 1250 mg/m² and Cisplatin 80 mg/m² – 21 day",5,2,2,0,1,3,13
"protocols/head-neck/00552-carboplatin-auc-5-and-5-fluorouracil-1000-mg-m-day-28-day.json","nccp-00552-v6","Carboplatin AUC 5 and 5-Fluorouracil 1000 mg/m²/day – 28 day",5,1,4,0,1,2,13
"protocols/head-neck/00589-carboplatin-70-mg-m-and-5-fluorouracil-600-mg-m-with-radiotherapy.json","nccp-00589-v4","Carboplatin 70 mg/m² and 5-Fluorouracil 600 mg/m² with Radiotherapy",5,1,4,0,1,2,13
"protocols/head-neck/00591-carboplatin-auc-4-and-5-fluorouracil-600-mg-m-with-radiotherapy.json","nccp-00591-v3","Carboplatin AUC 4 and 5-Fluorouracil 600 mg/m² with Radiotherapy",5,1,4,0,1,2,13
"protocols/head-neck/00615-cyclophosphamide-doxorubicin-and-cisplatin-21-day.json","nccp-00615-v2","Cyclophosphamide, Doxorubicin and Cisplatin – 21 day",5,1,2,0,1,2,11
"protocols/head-neck/00696-paclitaxel-days-1-8-and-15-with-cetuximab-days-1-and-15-28-day.json","nccp-00696-v2","Paclitaxel Days 1, 8 and 15 with Cetuximab Days 1 and 15 – 28 day",5,0,2,0,1,4,12
"protocols/head-neck/00705-pembrolizumab-carboplatin-auc-5-and-5-fluorouracil.json","nccp-00705-v2d","Pembrolizumab, Carboplatin AUC 5 and 5-Fluorouracil",5,1,4,3,1,8,22
"protocols/head-neck/00706-pembrolizumab-cisplatin-and-5-fluorouracil.json","nccp-00706-v3","Pembrolizumab, Cisplatin and 5-Fluorouracil",5,1,4,3,1,9,23
"protocols/head-neck/00893-methotrexate-40-mg-m-monotherapy-28-day.json","nccp-00893-v1","Methotrexate 40 mg/m² Monotherapy – 28 day",5,1,3,0,1,2,12
"protocols/head-neck/00903-gemcitabine-1000-mg-m-and-cisplatin-80-mg-m-induction.json","nccp-00903-v1","Gemcitabine 1000 mg/m² and Cisplatin 80 mg/m² Induction",5,2,2,0,1,3,13
"protocols/lung/00219-erlotinib-monotherapy.json","nccp-00219-v6","Erlotinib Monotherapy",2,0,2,0,1,3,8
"protocols/lung/00220-gefitinib-monotherapy.json","nccp-00220-v5","Gefitinib Monotherapy",2,0,2,0,1,3,8
"protocols/lung/00221-afatinib-monotherapy.json","nccp-00221-v5","Afatinib Monotherapy",2,0,2,0,1,3,8
