protocol_id,nccp_code,version,title,tumour_group,schedule_available,structured_treatment_phases,structured_treatment_object,phase_count,component_count,selectable_dose_level_groups,modification_pathways,source_url,clinical_validation_authorised
nccp-00258-v9,00258,9,TCH,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6362/258_v9_TCH.pdf,false
nccp-00260-v7,00260,7,AC → weekly paclitaxel,Breast,false,false,false,0,0,0,3,https://healthservice.hse.ie/documents/6364/260_v7_AC-T.pdf,false
nccp-00262-vcurrent,00262,8,EC90,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6367/262_EC90.pdf,false
nccp-00263-vcurrent,00263,7,EC75,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6368/263_EC75.pdf,false
nccp-00265-v6b,00265,6b,FEC100,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6690/265_v6b_FEC_100.pdf,false
nccp-00269-v7a,00269,7a,FEC50,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6693/269_v7a_FEC50.pdf,false
nccp-00272-v4,00272,4,Trastuzumab SC q21d metastatic,Breast,true,true,false,1,1,0,7,https://healthservice.hse.ie/documents/6694/272_v4_Trastuzumab_SC_21days_MBC.pdf,false
nccp-00278-v7,00278,7,DD AC → paclitaxel q14d,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6696/278_v7_Dose_DenseAC-T_Pacli_14_day.pdf,false
nccp-00285-v4,00285,4,Trastuzumab SC q21d EBC,Breast,true,true,false,1,1,0,7,https://healthservice.hse.ie/documents/6700/285_v4_Trastuzumab_SC_21days_EBC.pdf,false
nccp-00316-v6,00316,6,DD AC → paclitaxel q14d + trastuzumab,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6717/316_v6_Dose_Dense_AC-TH.pdf,false
nccp-00322-v4,00322,4,Everolimus + exemestane,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6720/322_v4_Everolimus_and_Exemestane.pdf,false
nccp-00348-v8a,00348,8a,Carboplatin AUC6 + Paclitaxel → DDAC,Breast,true,true,false,2,4,0,21,https://healthservice.hse.ie/documents/6812/348_Carboplatin_AUC_6_and_weekly_Paclitaxel_80mgm2.pdf,false
nccp-00350-v3,00350,3,Pertuzumab + Trastuzumab + Chemotherapy,Breast,true,true,false,1,3,0,22,https://healthservice.hse.ie/documents/6813/350_v3_Pertuzumab_Trastuz_Chemo.pdf,false
nccp-00361-vcurrent,00361,4,Fulvestrant,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6816/361_Fulvestrant_Therapy.pdf,false
nccp-00371-vcurrent,00371,4,Letrozole,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6817/371_Letrozole_.pdf,false
nccp-00376-vcurrent,00376,4,Exemestane,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6568/376_Exemestane_therapy.pdf,false
nccp-00377-v6,00377,6,CMF oral,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6337/377_v6_CMF_oral.pdf,false
nccp-00378-v6,00378,6,CMF IV 28-day,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6344/378_v6_cycloPHOSphamideIV_Methotrexate_5-FU_CMF.pdf,false
nccp-00381-v6,00381,6,CMF IV 21-day,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6346/381_v6_CMF_IV_21_Day.pdf,false
nccp-00414-vcurrent,00414,5,Palbociclib,Breast,false,false,false,0,0,0,5,https://healthservice.hse.ie/documents/6457/414_v5_Palbociclib_o9nHDn7.pdf,false
nccp-00423-vcurrent,00423,5,AT 50/75,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6823/423_DOXO_DOCEtaxel_AT_50_75-21day.pdf,false
nccp-00430-v6,00430,6,Gemcitabine + carboplatin AUC2,Breast,true,true,false,1,3,0,13,https://healthservice.hse.ie/documents/6832/430_GemcarboAUC2.pdf,false
nccp-00432-v5,00432,5,AC → weekly paclitaxel + trastuzumab,Breast,false,false,false,0,0,0,3,https://healthservice.hse.ie/documents/6470/432_v5_AC-TH_weekly.pdf,false
nccp-00433-v6,00433,6,DD AC → weekly paclitaxel + trastuzumab,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6471/433_v6_Dose_Dense_AC-TH_Weekly.pdf,false
nccp-00485-v6,00485,6,DD AC → weekly paclitaxel,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6500/485_v6_Dose_DenseAC-T.pdf,false
nccp-00507-v6,00507,6,Pertuzumab + trastuzumab + paclitaxel,Breast,true,false,true,1,1,1,23,https://healthservice.hse.ie/documents/6611/507_v6_Pertuzumab_Tras_PACLitaxel_2jBzcSC.pdf,false
nccp-00512-v5,00512,5,Weekly Paclitaxel + Trastuzumab,Breast,true,true,false,2,3,0,6,https://healthservice.hse.ie/documents/6515/512_v5_PACLitaxel_Trastuzumab_Weekly.pdf,false
nccp-00525-vcurrent,00525,6,Ribociclib metastatic,Breast,false,false,false,0,0,0,7,https://healthservice.hse.ie/documents/6629/525_v6_Ribociclib_Metastatic_hghzyyD.pdf,false
nccp-00526-v5,00526,5,Pertuzumab + trastuzumab + vinorelbine,Breast,false,false,false,0,0,0,21,https://healthservice.hse.ie/documents/6630/526_v5_Pertuzumab_Vinorelbine_trastuzumab_zOGbzKp.pdf,false
nccp-00545-v3,00545,3,Zoledronic acid adjuvant,Breast,true,true,false,1,1,0,8,https://healthservice.hse.ie/documents/6381/545_Zoledronic_acid.pdf,false
